,Molecular mass of acid,Molecular mass of amine,The boiling point of acid,The boiling point of amine,The melting point of acid,The melting point of amine,Acid flash point,Flash point of amine,The amount of nitrogen in the acid,The amount of nitrogen in the amine,The oxygen content of the acid,The amount of oxygen in the amine,The amount of hydrogen in the acid,The amount of hydrogen in the amine,The amount of carbon in the acid,The amount of carbon in the amine,Molar refractive index of acid,Molar refractive index of amine,Refractive index of acid,Refractive index of amine,The polarizability of acid,The polarizability of amine,The number of hydrogen bond donors for acid,The number of hydrogen bond donors for the amine,The number of hydrogen bond receptors for acid,The number of hydrogen bond receptors for the amine,The number of rotatable bonds of an acid,The number of rotatable bonds of an amine,The number of heavy atoms of an acid,The number of heavy atoms of an amine,Topological molecular polar surface area of acids,Topological molecular polar surface area of amines,Acid complexity,Amine complexity,The relative density of the acid,The relative density of amines,The relative vapor density of the acid,The relative vapor density of the amine,The vapor pressure of acid is 25¡æ,The vapor pressure of the amine is 25¡æ,The burning heat of acid,The burning heat of amine,The critical temperature of the acid,The critical temperature of the amine,Critical pressure of acid,The critical pressure of the amine,Octanol/water partition coefficient of acid,Octanol/water partition coefficient of amine,The PSA of acid  ,The PSA of Amine ,LogP of acid,LogP of an amine,Surface tension of acid,Surface tension of amine,Isotonic specific volume of acid,Isotonic specific volume of amine,Molar volume of acid,Molar volume of an amine,3-mercaptopropionic acid,Temperature,Time,Fluorescence intensity
48,74.08,45.08,141,16.6,-22,-50,54,-17,0,1,2,0,6,7,3,2,17.51,14.84,1.3848,1.373,6.94,5.88,1,1,2,1,1,0,5,3,37.3,26,40.2,2.8,0.99,0.7,2.56,1.56,4.2,1132.3,-1525.8,-1713.3,339,182.9,4.53,5.62,0.26,-0.13,37.3,26.02,0.25,-0.13,32.3,21.5,173.3,140.7,72.6,65.2,0.6,220,50,6.33861
49,74.08,45.08,141,16.6,-22,-50,54,-17,0,1,2,0,6,7,3,2,17.51,14.84,1.3848,1.373,6.94,5.88,1,1,2,1,1,0,5,3,37.3,26,40.2,2.8,0.99,0.7,2.56,1.56,4.2,1132.3,-1525.8,-1713.3,339,182.9,4.53,5.62,0.26,-0.13,37.3,26.02,0.25,-0.13,32.3,21.5,173.3,140.7,72.6,65.2,0.6,240,30,8.225855
50,74.08,45.08,141,16.6,-22,-50,54,-17,0,1,2,0,6,7,3,2,17.51,14.84,1.3848,1.373,6.94,5.88,1,1,2,1,1,0,5,3,37.3,26,40.2,2.8,0.99,0.7,2.56,1.56,4.2,1132.3,-1525.8,-1713.3,339,182.9,4.53,5.62,0.26,-0.13,37.3,26.02,0.25,-0.13,32.3,21.5,173.3,140.7,72.6,65.2,0.6,240,40,8.44588
51,74.08,45.08,141,16.6,-22,-50,54,-17,0,1,2,0,6,7,3,2,17.51,14.84,1.3848,1.373,6.94,5.88,1,1,2,1,1,0,5,3,37.3,26,40.2,2.8,0.99,0.7,2.56,1.56,4.2,1132.3,-1525.8,-1713.3,339,182.9,4.53,5.62,0.26,-0.13,37.3,26.02,0.25,-0.13,32.3,21.5,173.3,140.7,72.6,65.2,0.6,240,50,5.910431
52,74.08,45.08,141,16.6,-22,-50,54,-17,0,1,2,0,6,7,3,2,17.51,14.84,1.3848,1.373,6.94,5.88,1,1,2,1,1,0,5,3,37.3,26,40.2,2.8,0.99,0.7,2.56,1.56,4.2,1132.3,-1525.8,-1713.3,339,182.9,4.53,5.62,0.26,-0.13,37.3,26.02,0.25,-0.13,32.3,21.5,173.3,140.7,72.6,65.2,0.6,260,30,8.6988925
53,74.08,45.08,141,16.6,-22,-50,54,-17,0,1,2,0,6,7,3,2,17.51,14.84,1.3848,1.373,6.94,5.88,1,1,2,1,1,0,5,3,37.3,26,40.2,2.8,0.99,0.7,2.56,1.56,4.2,1132.3,-1525.8,-1713.3,339,182.9,4.53,5.62,0.26,-0.13,37.3,26.02,0.25,-0.13,32.3,21.5,173.3,140.7,72.6,65.2,0.6,260,40,9.216165
54,74.08,45.08,141,16.6,-22,-50,54,-17,0,1,2,0,6,7,3,2,17.51,14.84,1.3848,1.373,6.94,5.88,1,1,2,1,1,0,5,3,37.3,26,40.2,2.8,0.99,0.7,2.56,1.56,4.2,1132.3,-1525.8,-1713.3,339,182.9,4.53,5.62,0.26,-0.13,37.3,26.02,0.25,-0.13,32.3,21.5,173.3,140.7,72.6,65.2,0.6,260,50,6.607252
55,88.11,59.11,77.8,48,-7.9,-83,76.7,-37,0,1,2,0,8,9,4,3,22.14,19.48,1.411,1.3885,8.77,7.72,1,1,2,1,2,1,6,4,37.3,26,49.5,7.2,0.96,0.719,3.04,2,1.4,329,-2181.4,-2363,355,233.8,5.27,4.74,0.79,0.15,37.3,26.02,0.78,1.0554,32.5,23.8,213,180.5,89.1,81.7,0.2,220,30,8.37201
56,88.11,59.11,77.8,48,-7.9,-83,76.7,-37,0,1,2,0,8,9,4,3,22.14,19.48,1.411,1.3885,8.77,7.72,1,1,2,1,2,1,6,4,37.3,26,49.5,7.2,0.96,0.719,3.04,2,1.4,329,-2181.4,-2363,355,233.8,5.27,4.74,0.79,0.15,37.3,26.02,0.78,1.0554,32.5,23.8,213,180.5,89.1,81.7,0.2,220,40,8.516195
57,88.11,59.11,77.8,48,-7.9,-83,76.7,-37,0,1,2,0,8,9,4,3,22.14,19.48,1.411,1.3885,8.77,7.72,1,1,2,1,2,1,6,4,37.3,26,49.5,7.2,0.96,0.719,3.04,2,1.4,329,-2181.4,-2363,355,233.8,5.27,4.74,0.79,0.15,37.3,26.02,0.78,1.0554,32.5,23.8,213,180.5,89.1,81.7,0.2,220,50,6.82234
58,88.11,59.11,77.8,48,-7.9,-83,76.7,-37,0,1,2,0,8,9,4,3,22.14,19.48,1.411,1.3885,8.77,7.72,1,1,2,1,2,1,6,4,37.3,26,49.5,7.2,0.96,0.719,3.04,2,1.4,329,-2181.4,-2363,355,233.8,5.27,4.74,0.79,0.15,37.3,26.02,0.78,1.0554,32.5,23.8,213,180.5,89.1,81.7,0.2,240,30,7.54449
59,88.11,59.11,77.8,48,-7.9,-83,76.7,-37,0,1,2,0,8,9,4,3,22.14,19.48,1.411,1.3885,8.77,7.72,1,1,2,1,2,1,6,4,37.3,26,49.5,7.2,0.96,0.719,3.04,2,1.4,329,-2181.4,-2363,355,233.8,5.27,4.74,0.79,0.15,37.3,26.02,0.78,1.0554,32.5,23.8,213,180.5,89.1,81.7,0.2,240,40,8.62492
60,88.11,59.11,77.8,48,-7.9,-83,76.7,-37,0,1,2,0,8,9,4,3,22.14,19.48,1.411,1.3885,8.77,7.72,1,1,2,1,2,1,6,4,37.3,26,49.5,7.2,0.96,0.719,3.04,2,1.4,329,-2181.4,-2363,355,233.8,5.27,4.74,0.79,0.15,37.3,26.02,0.78,1.0554,32.5,23.8,213,180.5,89.1,81.7,0.2,240,50,4.95527
61,88.11,59.11,77.8,48,-7.9,-83,76.7,-37,0,1,2,0,8,9,4,3,22.14,19.48,1.411,1.3885,8.77,7.72,1,1,2,1,2,1,6,4,37.3,26,49.5,7.2,0.96,0.719,3.04,2,1.4,329,-2181.4,-2363,355,233.8,5.27,4.74,0.79,0.15,37.3,26.02,0.78,1.0554,32.5,23.8,213,180.5,89.1,81.7,0.2,260,30,6.8118805
62,88.11,59.11,77.8,48,-7.9,-83,76.7,-37,0,1,2,0,8,9,4,3,22.14,19.48,1.411,1.3885,8.77,7.72,1,1,2,1,2,1,6,4,37.3,26,49.5,7.2,0.96,0.719,3.04,2,1.4,329,-2181.4,-2363,355,233.8,5.27,4.74,0.79,0.15,37.3,26.02,0.78,1.0554,32.5,23.8,213,180.5,89.1,81.7,0.2,260,40,7.0337
63,88.11,59.11,77.8,48,-7.9,-83,76.7,-37,0,1,2,0,8,9,4,3,22.14,19.48,1.411,1.3885,8.77,7.72,1,1,2,1,2,1,6,4,37.3,26,49.5,7.2,0.96,0.719,3.04,2,1.4,329,-2181.4,-2363,355,233.8,5.27,4.74,0.79,0.15,37.3,26.02,0.78,1.0554,32.5,23.8,213,180.5,89.1,81.7,0.2,260,50,2.8229625
64,88.11,59.11,77.8,48,-7.9,-83,76.7,-37,0,1,2,0,8,9,4,3,22.14,19.48,1.411,1.3885,8.77,7.72,1,1,2,1,2,1,6,4,37.3,26,49.5,7.2,0.96,0.719,3.04,2,1.4,329,-2181.4,-2363,355,233.8,5.27,4.74,0.79,0.15,37.3,26.02,0.78,1.0554,32.5,23.8,213,180.5,89.1,81.7,0.4,220,30,9.582645
65,88.11,59.11,77.8,48,-7.9,-83,76.7,-37,0,1,2,0,8,9,4,3,22.14,19.48,1.411,1.3885,8.77,7.72,1,1,2,1,2,1,6,4,37.3,26,49.5,7.2,0.96,0.719,3.04,2,1.4,329,-2181.4,-2363,355,233.8,5.27,4.74,0.79,0.15,37.3,26.02,0.78,1.0554,32.5,23.8,213,180.5,89.1,81.7,0.4,220,40,10.5057975
66,88.11,59.11,77.8,48,-7.9,-83,76.7,-37,0,1,2,0,8,9,4,3,22.14,19.48,1.411,1.3885,8.77,7.72,1,1,2,1,2,1,6,4,37.3,26,49.5,7.2,0.96,0.719,3.04,2,1.4,329,-2181.4,-2363,355,233.8,5.27,4.74,0.79,0.15,37.3,26.02,0.78,1.0554,32.5,23.8,213,180.5,89.1,81.7,0.4,220,50,5.183011
67,88.11,59.11,77.8,48,-7.9,-83,76.7,-37,0,1,2,0,8,9,4,3,22.14,19.48,1.411,1.3885,8.77,7.72,1,1,2,1,2,1,6,4,37.3,26,49.5,7.2,0.96,0.719,3.04,2,1.4,329,-2181.4,-2363,355,233.8,5.27,4.74,0.79,0.15,37.3,26.02,0.78,1.0554,32.5,23.8,213,180.5,89.1,81.7,0.4,240,30,7.608255
68,88.11,59.11,77.8,48,-7.9,-83,76.7,-37,0,1,2,0,8,9,4,3,22.14,19.48,1.411,1.3885,8.77,7.72,1,1,2,1,2,1,6,4,37.3,26,49.5,7.2,0.96,0.719,3.04,2,1.4,329,-2181.4,-2363,355,233.8,5.27,4.74,0.79,0.15,37.3,26.02,0.78,1.0554,32.5,23.8,213,180.5,89.1,81.7,0.4,240,40,7.92874
69,88.11,59.11,77.8,48,-7.9,-83,76.7,-37,0,1,2,0,8,9,4,3,22.14,19.48,1.411,1.3885,8.77,7.72,1,1,2,1,2,1,6,4,37.3,26,49.5,7.2,0.96,0.719,3.04,2,1.4,329,-2181.4,-2363,355,233.8,5.27,4.74,0.79,0.15,37.3,26.02,0.78,1.0554,32.5,23.8,213,180.5,89.1,81.7,0.4,240,50,5.37888
70,88.11,59.11,77.8,48,-7.9,-83,76.7,-37,0,1,2,0,8,9,4,3,22.14,19.48,1.411,1.3885,8.77,7.72,1,1,2,1,2,1,6,4,37.3,26,49.5,7.2,0.96,0.719,3.04,2,1.4,329,-2181.4,-2363,355,233.8,5.27,4.74,0.79,0.15,37.3,26.02,0.78,1.0554,32.5,23.8,213,180.5,89.1,81.7,0.4,260,30,5.903044
71,88.11,59.11,77.8,48,-7.9,-83,76.7,-37,0,1,2,0,8,9,4,3,22.14,19.48,1.411,1.3885,8.77,7.72,1,1,2,1,2,1,6,4,37.3,26,49.5,7.2,0.96,0.719,3.04,2,1.4,329,-2181.4,-2363,355,233.8,5.27,4.74,0.79,0.15,37.3,26.02,0.78,1.0554,32.5,23.8,213,180.5,89.1,81.7,0.4,260,40,6.231942
72,88.11,59.11,77.8,48,-7.9,-83,76.7,-37,0,1,2,0,8,9,4,3,22.14,19.48,1.411,1.3885,8.77,7.72,1,1,2,1,2,1,6,4,37.3,26,49.5,7.2,0.96,0.719,3.04,2,1.4,329,-2181.4,-2363,355,233.8,5.27,4.74,0.79,0.15,37.3,26.02,0.78,1.0554,32.5,23.8,213,180.5,89.1,81.7,0.4,260,50,3.6482225
73,88.11,59.11,77.8,48,-7.9,-83,76.7,-37,0,1,2,0,8,9,4,3,22.14,19.48,1.411,1.3885,8.77,7.72,1,1,2,1,2,1,6,4,37.3,26,49.5,7.2,0.96,0.719,3.04,2,1.4,329,-2181.4,-2363,355,233.8,5.27,4.74,0.79,0.15,37.3,26.02,0.78,1.0554,32.5,23.8,213,180.5,89.1,81.7,0.6,220,30,8.562314
74,88.11,59.11,77.8,48,-7.9,-83,76.7,-37,0,1,2,0,8,9,4,3,22.14,19.48,1.411,1.3885,8.77,7.72,1,1,2,1,2,1,6,4,37.3,26,49.5,7.2,0.96,0.719,3.04,2,1.4,329,-2181.4,-2363,355,233.8,5.27,4.74,0.79,0.15,37.3,26.02,0.78,1.0554,32.5,23.8,213,180.5,89.1,81.7,0.6,220,40,8.72587
75,88.11,59.11,77.8,48,-7.9,-83,76.7,-37,0,1,2,0,8,9,4,3,22.14,19.48,1.411,1.3885,8.77,7.72,1,1,2,1,2,1,6,4,37.3,26,49.5,7.2,0.96,0.719,3.04,2,1.4,329,-2181.4,-2363,355,233.8,5.27,4.74,0.79,0.15,37.3,26.02,0.78,1.0554,32.5,23.8,213,180.5,89.1,81.7,0.6,220,50,6.620115
76,88.11,59.11,77.8,48,-7.9,-83,76.7,-37,0,1,2,0,8,9,4,3,22.14,19.48,1.411,1.3885,8.77,7.72,1,1,2,1,2,1,6,4,37.3,26,49.5,7.2,0.96,0.719,3.04,2,1.4,329,-2181.4,-2363,355,233.8,5.27,4.74,0.79,0.15,37.3,26.02,0.78,1.0554,32.5,23.8,213,180.5,89.1,81.7,0.6,240,30,7.82212
77,88.11,59.11,77.8,48,-7.9,-83,76.7,-37,0,1,2,0,8,9,4,3,22.14,19.48,1.411,1.3885,8.77,7.72,1,1,2,1,2,1,6,4,37.3,26,49.5,7.2,0.96,0.719,3.04,2,1.4,329,-2181.4,-2363,355,233.8,5.27,4.74,0.79,0.15,37.3,26.02,0.78,1.0554,32.5,23.8,213,180.5,89.1,81.7,0.6,240,40,8.111765
78,88.11,59.11,77.8,48,-7.9,-83,76.7,-37,0,1,2,0,8,9,4,3,22.14,19.48,1.411,1.3885,8.77,7.72,1,1,2,1,2,1,6,4,37.3,26,49.5,7.2,0.96,0.719,3.04,2,1.4,329,-2181.4,-2363,355,233.8,5.27,4.74,0.79,0.15,37.3,26.02,0.78,1.0554,32.5,23.8,213,180.5,89.1,81.7,0.6,240,50,6.262275
79,88.11,59.11,77.8,48,-7.9,-83,76.7,-37,0,1,2,0,8,9,4,3,22.14,19.48,1.411,1.3885,8.77,7.72,1,1,2,1,2,1,6,4,37.3,26,49.5,7.2,0.96,0.719,3.04,2,1.4,329,-2181.4,-2363,355,233.8,5.27,4.74,0.79,0.15,37.3,26.02,0.78,1.0554,32.5,23.8,213,180.5,89.1,81.7,0.6,260,30,7.0037375
80,88.11,59.11,77.8,48,-7.9,-83,76.7,-37,0,1,2,0,8,9,4,3,22.14,19.48,1.411,1.3885,8.77,7.72,1,1,2,1,2,1,6,4,37.3,26,49.5,7.2,0.96,0.719,3.04,2,1.4,329,-2181.4,-2363,355,233.8,5.27,4.74,0.79,0.15,37.3,26.02,0.78,1.0554,32.5,23.8,213,180.5,89.1,81.7,0.6,260,40,7.59952
81,88.11,59.11,77.8,48,-7.9,-83,76.7,-37,0,1,2,0,8,9,4,3,22.14,19.48,1.411,1.3885,8.77,7.72,1,1,2,1,2,1,6,4,37.3,26,49.5,7.2,0.96,0.719,3.04,2,1.4,329,-2181.4,-2363,355,233.8,5.27,4.74,0.79,0.15,37.3,26.02,0.78,1.0554,32.5,23.8,213,180.5,89.1,81.7,0.6,260,50,4.600342
82,74.08,59.11,141,48,-22,-83,54,-37,0,1,2,0,6,9,3,3,17.51,19.48,1.3848,1.3885,6.94,7.72,1,1,2,1,1,1,5,4,37.3,26,40.2,7.2,0.99,0.719,2.56,2,4.2,329,-1525.8,-2363,339,233.8,4.53,4.74,0.26,0.15,37.3,26.02,0.25,1.0554,32.2,23.8,173.3,180.5,72.6,81.7,0.2,220,30,7.96755
83,74.08,59.11,141,48,-22,-83,54,-37,0,1,2,0,6,9,3,3,17.51,19.48,1.3848,1.3885,6.94,7.72,1,1,2,1,1,1,5,4,37.3,26,40.2,7.2,0.99,0.719,2.56,2,4.2,329,-1525.8,-2363,339,233.8,4.53,4.74,0.26,0.15,37.3,26.02,0.25,1.0554,32.2,23.8,173.3,180.5,72.6,81.7,0.2,220,40,8.42386
84,74.08,59.11,141,48,-22,-83,54,-37,0,1,2,0,6,9,3,3,17.51,19.48,1.3848,1.3885,6.94,7.72,1,1,2,1,1,1,5,4,37.3,26,40.2,7.2,0.99,0.719,2.56,2,4.2,329,-1525.8,-2363,339,233.8,4.53,4.74,0.26,0.15,37.3,26.02,0.25,1.0554,32.2,23.8,173.3,180.5,72.6,81.7,0.2,220,50,5.0744
85,74.08,59.11,141,48,-22,-83,54,-37,0,1,2,0,6,9,3,3,17.51,19.48,1.3848,1.3885,6.94,7.72,1,1,2,1,1,1,5,4,37.3,26,40.2,7.2,0.99,0.719,2.56,2,4.2,329,-1525.8,-2363,339,233.8,4.53,4.74,0.26,0.15,37.3,26.02,0.25,1.0554,32.2,23.8,173.3,180.5,72.6,81.7,0.2,240,30,7.472079
86,74.08,59.11,141,48,-22,-83,54,-37,0,1,2,0,6,9,3,3,17.51,19.48,1.3848,1.3885,6.94,7.72,1,1,2,1,1,1,5,4,37.3,26,40.2,7.2,0.99,0.719,2.56,2,4.2,329,-1525.8,-2363,339,233.8,4.53,4.74,0.26,0.15,37.3,26.02,0.25,1.0554,32.2,23.8,173.3,180.5,72.6,81.7,0.2,240,40,9.2872035
87,74.08,59.11,141,48,-22,-83,54,-37,0,1,2,0,6,9,3,3,17.51,19.48,1.3848,1.3885,6.94,7.72,1,1,2,1,1,1,5,4,37.3,26,40.2,7.2,0.99,0.719,2.56,2,4.2,329,-1525.8,-2363,339,233.8,4.53,4.74,0.26,0.15,37.3,26.02,0.25,1.0554,32.2,23.8,173.3,180.5,72.6,81.7,0.2,240,50,4.3426185
88,74.08,59.11,141,48,-22,-83,54,-37,0,1,2,0,6,9,3,3,17.51,19.48,1.3848,1.3885,6.94,7.72,1,1,2,1,1,1,5,4,37.3,26,40.2,7.2,0.99,0.719,2.56,2,4.2,329,-1525.8,-2363,339,233.8,4.53,4.74,0.26,0.15,37.3,26.02,0.25,1.0554,32.2,23.8,173.3,180.5,72.6,81.7,0.2,269,30,4.8600205
89,74.08,59.11,141,48,-22,-83,54,-37,0,1,2,0,6,9,3,3,17.51,19.48,1.3848,1.3885,6.94,7.72,1,1,2,1,1,1,5,4,37.3,26,40.2,7.2,0.99,0.719,2.56,2,4.2,329,-1525.8,-2363,339,233.8,4.53,4.74,0.26,0.15,37.3,26.02,0.25,1.0554,32.2,23.8,173.3,180.5,72.6,81.7,0.2,269,40,5.4818505
90,74.08,59.11,141,48,-22,-83,54,-37,0,1,2,0,6,9,3,3,17.51,19.48,1.3848,1.3885,6.94,7.72,1,1,2,1,1,1,5,4,37.3,26,40.2,7.2,0.99,0.719,2.56,2,4.2,329,-1525.8,-2363,339,233.8,4.53,4.74,0.26,0.15,37.3,26.02,0.25,1.0554,32.2,23.8,173.3,180.5,72.6,81.7,0.2,269,50,3.5226145
91,74.08,59.11,141,48,-22,-83,54,-37,0,1,2,0,6,9,3,3,17.51,19.48,1.3848,1.3885,6.94,7.72,1,1,2,1,1,1,5,4,37.3,26,40.2,7.2,0.99,0.719,2.56,2,4.2,329,-1525.8,-2363,339,233.8,4.53,4.74,0.26,0.15,37.3,26.02,0.25,1.0554,32.2,23.8,173.3,180.5,72.6,81.7,0.4,220,30,8.393655
92,74.08,59.11,141,48,-22,-83,54,-37,0,1,2,0,6,9,3,3,17.51,19.48,1.3848,1.3885,6.94,7.72,1,1,2,1,1,1,5,4,37.3,26,40.2,7.2,0.99,0.719,2.56,2,4.2,329,-1525.8,-2363,339,233.8,4.53,4.74,0.26,0.15,37.3,26.02,0.25,1.0554,32.2,23.8,173.3,180.5,72.6,81.7,0.4,220,40,8.52911
93,74.08,59.11,141,48,-22,-83,54,-37,0,1,2,0,6,9,3,3,17.51,19.48,1.3848,1.3885,6.94,7.72,1,1,2,1,1,1,5,4,37.3,26,40.2,7.2,0.99,0.719,2.56,2,4.2,329,-1525.8,-2363,339,233.8,4.53,4.74,0.26,0.15,37.3,26.02,0.25,1.0554,32.2,23.8,173.3,180.5,72.6,81.7,0.4,220,50,5.769985
94,74.08,59.11,141,48,-22,-83,54,-37,0,1,2,0,6,9,3,3,17.51,19.48,1.3848,1.3885,6.94,7.72,1,1,2,1,1,1,5,4,37.3,26,40.2,7.2,0.99,0.719,2.56,2,4.2,329,-1525.8,-2363,339,233.8,4.53,4.74,0.26,0.15,37.3,26.02,0.25,1.0554,32.2,23.8,173.3,180.5,72.6,81.7,0.4,240,30,7.5991975
95,74.08,59.11,141,48,-22,-83,54,-37,0,1,2,0,6,9,3,3,17.51,19.48,1.3848,1.3885,6.94,7.72,1,1,2,1,1,1,5,4,37.3,26,40.2,7.2,0.99,0.719,2.56,2,4.2,329,-1525.8,-2363,339,233.8,4.53,4.74,0.26,0.15,37.3,26.02,0.25,1.0554,32.2,23.8,173.3,180.5,72.6,81.7,0.4,240,40,8.397905
96,74.08,59.11,141,48,-22,-83,54,-37,0,1,2,0,6,9,3,3,17.51,19.48,1.3848,1.3885,6.94,7.72,1,1,2,1,1,1,5,4,37.3,26,40.2,7.2,0.99,0.719,2.56,2,4.2,329,-1525.8,-2363,339,233.8,4.53,4.74,0.26,0.15,37.3,26.02,0.25,1.0554,32.2,23.8,173.3,180.5,72.6,81.7,0.4,240,50,5.76018
97,74.08,59.11,141,48,-22,-83,54,-37,0,1,2,0,6,9,3,3,17.51,19.48,1.3848,1.3885,6.94,7.72,1,1,2,1,1,1,5,4,37.3,26,40.2,7.2,0.99,0.719,2.56,2,4.2,329,-1525.8,-2363,339,233.8,4.53,4.74,0.26,0.15,37.3,26.02,0.25,1.0554,32.2,23.8,173.3,180.5,72.6,81.7,0.4,260,30,6.615625
98,74.08,59.11,141,48,-22,-83,54,-37,0,1,2,0,6,9,3,3,17.51,19.48,1.3848,1.3885,6.94,7.72,1,1,2,1,1,1,5,4,37.3,26,40.2,7.2,0.99,0.719,2.56,2,4.2,329,-1525.8,-2363,339,233.8,4.53,4.74,0.26,0.15,37.3,26.02,0.25,1.0554,32.2,23.8,173.3,180.5,72.6,81.7,0.4,260,40,7.593342
99,74.08,59.11,141,48,-22,-83,54,-37,0,1,2,0,6,9,3,3,17.51,19.48,1.3848,1.3885,6.94,7.72,1,1,2,1,1,1,5,4,37.3,26,40.2,7.2,0.99,0.719,2.56,2,4.2,329,-1525.8,-2363,339,233.8,4.53,4.74,0.26,0.15,37.3,26.02,0.25,1.0554,32.2,23.8,173.3,180.5,72.6,81.7,0.4,260,50,4.747031
100,74.08,59.11,141,48,-22,-83,54,-37,0,1,2,0,6,9,3,3,17.51,19.48,1.3848,1.3885,6.94,7.72,1,1,2,1,1,1,5,4,37.3,26,40.2,7.2,0.99,0.719,2.56,2,4.2,329,-1525.8,-2363,339,233.8,4.53,4.74,0.26,0.15,37.3,26.02,0.25,1.0554,32.2,23.8,173.3,180.5,72.6,81.7,0.6,220,30,10.28982
101,74.08,59.11,141,48,-22,-83,54,-37,0,1,2,0,6,9,3,3,17.51,19.48,1.3848,1.3885,6.94,7.72,1,1,2,1,1,1,5,4,37.3,26,40.2,7.2,0.99,0.719,2.56,2,4.2,329,-1525.8,-2363,339,233.8,4.53,4.74,0.26,0.15,37.3,26.02,0.25,1.0554,32.2,23.8,173.3,180.5,72.6,81.7,0.6,220,40,11.393905
102,74.08,59.11,141,48,-22,-83,54,-37,0,1,2,0,6,9,3,3,17.51,19.48,1.3848,1.3885,6.94,7.72,1,1,2,1,1,1,5,4,37.3,26,40.2,7.2,0.99,0.719,2.56,2,4.2,329,-1525.8,-2363,339,233.8,4.53,4.74,0.26,0.15,37.3,26.02,0.25,1.0554,32.2,23.8,173.3,180.5,72.6,81.7,0.6,220,50,6.552907
103,74.08,59.11,141,48,-22,-83,54,-37,0,1,2,0,6,9,3,3,17.51,19.48,1.3848,1.3885,6.94,7.72,1,1,2,1,1,1,5,4,37.3,26,40.2,7.2,0.99,0.719,2.56,2,4.2,329,-1525.8,-2363,339,233.8,4.53,4.74,0.26,0.15,37.3,26.02,0.25,1.0554,32.2,23.8,173.3,180.5,72.6,81.7,0.6,240,30,7.91756
104,74.08,59.11,141,48,-22,-83,54,-37,0,1,2,0,6,9,3,3,17.51,19.48,1.3848,1.3885,6.94,7.72,1,1,2,1,1,1,5,4,37.3,26,40.2,7.2,0.99,0.719,2.56,2,4.2,329,-1525.8,-2363,339,233.8,4.53,4.74,0.26,0.15,37.3,26.02,0.25,1.0554,32.2,23.8,173.3,180.5,72.6,81.7,0.6,240,40,8.798155
105,74.08,59.11,141,48,-22,-83,54,-37,0,1,2,0,6,9,3,3,17.51,19.48,1.3848,1.3885,6.94,7.72,1,1,2,1,1,1,5,4,37.3,26,40.2,7.2,0.99,0.719,2.56,2,4.2,329,-1525.8,-2363,339,233.8,4.53,4.74,0.26,0.15,37.3,26.02,0.25,1.0554,32.2,23.8,173.3,180.5,72.6,81.7,0.6,240,50,5.87791
106,74.08,59.11,141,48,-22,-83,54,-37,0,1,2,0,6,9,3,3,17.51,19.48,1.3848,1.3885,6.94,7.72,1,1,2,1,1,1,5,4,37.3,26,40.2,7.2,0.99,0.719,2.56,2,4.2,329,-1525.8,-2363,339,233.8,4.53,4.74,0.26,0.15,37.3,26.02,0.25,1.0554,32.2,23.8,173.3,180.5,72.6,81.7,0.6,260,30,7.73169
107,74.08,59.11,141,48,-22,-83,54,-37,0,1,2,0,6,9,3,3,17.51,19.48,1.3848,1.3885,6.94,7.72,1,1,2,1,1,1,5,4,37.3,26,40.2,7.2,0.99,0.719,2.56,2,4.2,329,-1525.8,-2363,339,233.8,4.53,4.74,0.26,0.15,37.3,26.02,0.25,1.0554,32.2,23.8,173.3,180.5,72.6,81.7,0.6,260,40,8.1937
108,74.08,59.11,141,48,-22,-83,54,-37,0,1,2,0,6,9,3,3,17.51,19.48,1.3848,1.3885,6.94,7.72,1,1,2,1,1,1,5,4,37.3,26,40.2,7.2,0.99,0.719,2.56,2,4.2,329,-1525.8,-2363,339,233.8,4.53,4.74,0.26,0.15,37.3,26.02,0.25,1.0554,32.2,23.8,173.3,180.5,72.6,81.7,0.6,260,50,5.844665
109,74.08,73.14,117.9,163.5,-22,-50.5,54,-12,0,1,2,0,6,11,3,4,17.51,24.11,1.3848,1.406,6.94,9.56,1,1,2,1,1,2,5,5,37.3,26,40.2,13.1,0.99,0.74,2.56,2.52,4.2,97.3,-1525.8,-3018.4,339,251,4.53,4.16,0.26,0.97,37.3,26.02,0.25,0.93,32.2,25.3,173.3,220.3,72.6,98.2,0.2,220,30,7.988445
110,74.08,73.14,117.9,163.5,-22,-50.5,54,-12,0,1,2,0,6,11,3,4,17.51,24.11,1.3848,1.406,6.94,9.56,1,1,2,1,1,2,5,5,37.3,26,40.2,13.1,0.99,0.74,2.56,2.52,4.2,97.3,-1525.8,-3018.4,339,251,4.53,4.16,0.26,0.97,37.3,26.02,0.25,0.93,32.2,25.3,173.3,220.3,72.6,98.2,0.2,220,40,8.49666
111,74.08,73.14,117.9,163.5,-22,-50.5,54,-12,0,1,2,0,6,11,3,4,17.51,24.11,1.3848,1.406,6.94,9.56,1,1,2,1,1,2,5,5,37.3,26,40.2,13.1,0.99,0.74,2.56,2.52,4.2,97.3,-1525.8,-3018.4,339,251,4.53,4.16,0.26,0.97,37.3,26.02,0.25,0.93,32.2,25.3,173.3,220.3,72.6,98.2,0.2,220,50,5.189415
