,Molecular mass of acid,Molecular mass of amine,The boiling point of acid,The boiling point of amine,The melting point of acid,The melting point of amine,Acid flash point,Flash point of amine,The amount of nitrogen in the acid,The amount of nitrogen in the amine,The oxygen content of the acid,The amount of oxygen in the amine,The amount of hydrogen in the acid,The amount of hydrogen in the amine,The amount of carbon in the acid,The amount of carbon in the amine,Molar refractive index of acid,Molar refractive index of amine,Refractive index of acid,Refractive index of amine,The polarizability of acid,The polarizability of amine,The number of hydrogen bond donors for acid,The number of hydrogen bond donors for the amine,The number of hydrogen bond receptors for acid,The number of hydrogen bond receptors for the amine,The number of rotatable bonds of an acid,The number of rotatable bonds of an amine,The number of heavy atoms of an acid,The number of heavy atoms of an amine,Topological molecular polar surface area of acids,Topological molecular polar surface area of amines,Acid complexity,Amine complexity,The relative density of the acid,The relative density of amines,The relative vapor density of the acid,The relative vapor density of the amine,The vapor pressure of acid is 25¡æ,The vapor pressure of the amine is 25¡æ,The burning heat of acid,The burning heat of amine,The critical temperature of the acid,The critical temperature of the amine,Critical pressure of acid,The critical pressure of the amine,Octanol/water partition coefficient of acid,Octanol/water partition coefficient of amine,The PSA of acid  ,The PSA of Amine ,LogP of acid,LogP of an amine,Surface tension of acid,Surface tension of amine,Isotonic specific volume of acid,Isotonic specific volume of amine,Molar volume of acid,Molar volume of an amine,3-mercaptopropionic acid,Temperature,Time,Fluorescence intensity
25,88.11,73.14,77.8,163.5,-7.9,-50.5,76.7,-12,0,1,2,0,8,11,4,4,22.14,24.11,1.411,1.406,8.77,9.56,1,1,2,1,2,2,6,5,37.3,26,49.5,13.1,0.96,0.74,3.04,2.52,1.4,97.3,-2181.4,-3018.4,355,251,5.27,4.16,0.79,0.97,37.3,26.02,0.78,0.93,32.5,25.3,213,220.3,89.1,98.2,0.6,260,30,7.127231
26,88.11,73.14,77.8,163.5,-7.9,-50.5,76.7,-12,0,1,2,0,8,11,4,4,22.14,24.11,1.411,1.406,8.77,9.56,1,1,2,1,2,2,6,5,37.3,26,49.5,13.1,0.96,0.74,3.04,2.52,1.4,97.3,-2181.4,-3018.4,355,251,5.27,4.16,0.79,0.97,37.3,26.02,0.78,0.93,32.5,25.3,213,220.3,89.1,98.2,0.6,260,40,8.56586
27,88.11,73.14,77.8,163.5,-7.9,-50.5,76.7,-12,0,1,2,0,8,11,4,4,22.14,24.11,1.411,1.406,8.77,9.56,1,1,2,1,2,2,5,3,37.3,26,49.5,13.1,0.96,0.74,3.04,2.52,1.4,97.3,-2181.4,-3018.4,355,251,5.27,4.16,0.79,0.97,37.3,26.02,0.78,0.93,32.5,25.3,213,220.3,89.1,98.2,0.6,260,50,3.9328155
28,74.08,45.08,141,16.6,-22,-50,54,-17,0,1,2,0,6,7,3,2,17.51,14.84,1.3848,1.373,6.94,5.88,1,1,2,1,1,0,5,3,37.3,26,40.2,2.8,0.99,0.7,2.56,1.56,4.2,1132.3,-1525.8,-1713.3,339,182.9,4.53,5.62,0.26,-0.13,37.3,26.02,0.25,-0.13,32.3,21.5,173.3,140.7,72.6,65.2,0.2,220,30,9.69726
29,74.08,45.08,141,16.6,-22,-50,54,-17,0,1,2,0,6,7,3,2,17.51,14.84,1.3848,1.373,6.94,5.88,1,1,2,1,1,0,5,3,37.3,26,40.2,2.8,0.99,0.7,2.56,1.56,4.2,1132.3,-1525.8,-1713.3,339,182.9,4.53,5.62,0.26,-0.13,37.3,26.02,0.25,-0.13,32.3,21.5,173.3,140.7,72.6,65.2,0.2,220,40,10.17461
30,74.08,45.08,141,16.6,-22,-50,54,-17,0,1,2,0,6,7,3,2,17.51,14.84,1.3848,1.373,6.94,5.88,1,1,2,1,1,0,5,3,37.3,26,40.2,2.8,0.99,0.7,2.56,1.56,4.2,1132.3,-1525.8,-1713.3,339,182.9,4.53,5.62,0.26,-0.13,37.3,26.02,0.25,-0.13,32.3,21.5,173.3,140.7,72.6,65.2,0.2,220,50,4.985215
31,74.08,45.08,141,16.6,-22,-50,54,-17,0,1,2,0,6,7,3,2,17.51,14.84,1.3848,1.373,6.94,5.88,1,1,2,1,1,0,5,3,37.3,26,40.2,2.8,0.99,0.7,2.56,1.56,4.2,1132.3,-1525.8,-1713.3,339,182.9,4.53,5.62,0.26,-0.13,37.3,26.02,0.25,-0.13,32.3,21.5,173.3,140.7,72.6,65.2,0.2,240,30,7.5584
32,74.08,45.08,141,16.6,-22,-50,54,-17,0,1,2,0,6,7,3,2,17.51,14.84,1.3848,1.373,6.94,5.88,1,1,2,1,1,0,5,3,37.3,26,40.2,2.8,0.99,0.7,2.56,1.56,4.2,1132.3,-1525.8,-1713.3,339,182.9,4.53,5.62,0.26,-0.13,37.3,26.02,0.25,-0.13,32.3,21.5,173.3,140.7,72.6,65.2,0.2,240,40,8.391735
33,74.08,45.08,141,16.6,-22,-50,54,-17,0,1,2,0,6,7,3,2,17.51,14.84,1.3848,1.373,6.94,5.88,1,1,2,1,1,0,5,3,37.3,26,40.2,2.8,0.99,0.7,2.56,1.56,4.2,1132.3,-1525.8,-1713.3,339,182.9,4.53,5.62,0.26,-0.13,37.3,26.02,0.25,-0.13,32.3,21.5,173.3,140.7,72.6,65.2,0.2,240,50,5.027231
34,74.08,45.08,141,16.6,-22,-50,54,-17,0,1,2,0,6,7,3,2,17.51,14.84,1.3848,1.373,6.94,5.88,1,1,2,1,1,0,5,3,37.3,26,40.2,2.8,0.99,0.7,2.56,1.56,4.2,1132.3,-1525.8,-1713.3,339,182.9,4.53,5.62,0.26,-0.13,37.3,26.02,0.25,-0.13,32.3,21.5,173.3,140.7,72.6,65.2,0.2,260,30,7.12557
